labelNo,panels
1,"[512292,512705,512769,512256,512704,512716,512299,512499,512146,512317,512732,512090,512698]"
2,"[513734,513861,513632,513868,513865,513591,513141,513748,513182,513310,513723,513306,513017,513208]"
3,[514215]
4,"[257986,257351,257478,257412,257512,257933]"
5,"[515076,515842,515118,515693,515291,515770]"
6,"[516807,516823,516422,516197,516290,516541,516377,516824]"
7,"[256579,256258,256816,256425,256840,256718,256781]"
8,"[258497,258496,258934,258982,258068,258772,258939,258446,258445]"
9,"[517813,517843,517410,517903,517566,517516,517692,517836,517610,517496]"
10,"[259296,259673,259950]"
11,"[518679,518582,518419,518047,518701,518829,518220,518457,518664]"
12,"[519622,519604,519426,519681,519661,519596]"
13,"[260710,260965,260169,260013]"
14,"[520999,520182,520660,520253,520397,520026]"
15,"[261787,261081,261512]"
16,"[521637,521780,521443,521699,521184,521264,521984,521919,521534,521833,521849,521977]"
